# Hosts information in Wireshark 
#
# Host data gathered from /home/ishtar/github/ntua-netmgmnt/lab4/trace_b.cap

147.102.13.127	vUbuntu.netmode.ece.ntua.gr
147.102.13.32	pc-maglaris.netmode.ece.ntua.gr
147.102.13.3	black.netmode.ece.ntua.gr
147.102.13.69	dhcp-69.netmode.ece.ntua.gr
147.102.13.230	wolverine-man.netmode.ece.ntua.gr
147.102.13.135	dhcp-135.netmode.ece.ntua.gr
147.102.13.40	lexmark.netmode.ece.ntua.gr
147.102.13.106	mainalo.netmode.ece.ntua.gr
147.102.13.11	eleni.netmode.ece.ntua.gr
147.102.13.172	mary-laptop.netmode.ece.ntua.gr
147.102.13.77	dhcp-77.netmode.ece.ntua.gr
147.102.13.238	kdc.netmode.ece.ntua.gr
147.102.222.220	diomedes.noc.ntua.gr
147.102.13.143	mariana.netmode.ece.ntua.gr
147.102.13.48	yiannos-netmode.netmode.ece.ntua.gr
147.102.13.114	egee.netmode.ece.ntua.gr
147.102.13.19	maria.netmode.ece.ntua.gr
147.102.13.180	debmon.netmode.ece.ntua.gr
147.102.13.85	dragon.netmode.ece.ntua.gr
147.102.13.246	cyclops.netmode.ece.ntua.gr
147.102.13.56	globus1.netmode.ece.ntua.gr
147.102.13.217	dhcp-217.netmode.ece.ntua.gr
147.102.13.122	box.netmode.ece.ntua.gr
147.102.13.27	rookie.netmode.ece.ntua.gr
147.102.13.254	linksys-sw.netmode.ece.ntua.gr
147.102.13.64	dhcp-64.netmode.ece.ntua.gr
147.102.13.130	dhcp-130.netmode.ece.ntua.gr
147.102.13.35	coffee.netmode.ece.ntua.gr
147.102.13.101	goofy.netmode.ece.ntua.gr
147.102.13.6	bofh.netmode.ece.ntua.gr
147.102.13.72	dhcp-72.netmode.ece.ntua.gr
194.177.210.210	nic.grnet.gr
147.102.13.138	dhcp-138.netmode.ece.ntua.gr
147.102.13.43	grid3.netmode.ece.ntua.gr
147.102.13.14	sofo.netmode.ece.ntua.gr
147.102.13.175	netrino.netmode.ece.ntua.gr
147.102.13.80	marvin.netmode.ece.ntua.gr
147.102.13.241	hulk.netmode.ece.ntua.gr
147.102.13.146	myplc.netmode.ece.ntua.gr
147.102.13.51	sandra.netmode.ece.ntua.gr
147.102.13.212	dhcp-212.netmode.ece.ntua.gr
147.102.13.117	mule.netmode.ece.ntua.gr
147.102.13.22	argugrid-rv.netmode.ece.ntua.gr
147.102.13.183	cookie08.netmode.ece.ntua.gr
147.102.13.88	donkey.netmode.ece.ntua.gr
147.102.13.249	space-man.netmode.ece.ntua.gr
147.102.13.59	darthvader.netmode.ece.ntua.gr
147.102.13.125	leonidas.netmode.ece.ntua.gr
147.102.13.30	cornuto.netmode.ece.ntua.gr
147.102.13.1	averel.netmode.ece.ntua.gr
147.102.13.67	dhcp-67.netmode.ece.ntua.gr
147.102.222.210	achilles.noc.ntua.gr
147.102.13.133	dhcp-133.netmode.ece.ntua.gr
147.102.13.38	picolo.netmode.ece.ntua.gr
147.102.13.9	briki.netmode.ece.ntua.gr
147.102.13.170	mute.netmode.ece.ntua.gr
147.102.13.75	dhcp-75.netmode.ece.ntua.gr
147.102.13.236	test3.netmode.ece.ntua.gr
147.102.13.141	storm.netmode.ece.ntua.gr
147.102.13.46	grid6.netmode.ece.ntua.gr
147.102.13.112	eetsirop.netmode.ece.ntua.gr
147.102.13.17	backup.netmode.ece.ntua.gr
147.102.13.178	tasaki.netmode.ece.ntua.gr
147.102.13.83	wraith.netmode.ece.ntua.gr
147.102.13.244	magneto-man.netmode.ece.ntua.gr
147.102.13.149	vnode3.netmode.ece.ntua.gr
147.102.13.54	ups0.netmode.ece.ntua.gr
147.102.13.215	dhcp-215.netmode.ece.ntua.gr
147.102.13.120	thing.netmode.ece.ntua.gr
147.102.13.25	feta.netmode.ece.ntua.gr
147.102.13.91	opensw.netmode.ece.ntua.gr
147.102.13.252	cisco-sw.netmode.ece.ntua.gr
147.102.13.62	dhcp-62.netmode.ece.ntua.gr
192.108.114.2	duth.gr
147.102.13.128	skywalker-man.netmode.ece.ntua.gr
147.102.13.33	bot.netmode.ece.ntua.gr
147.102.13.99	aiolos.netmode.ece.ntua.gr
147.102.13.4	bender.netmode.ece.ntua.gr
147.102.13.165	kadahar.netmode.ece.ntua.gr
147.102.13.70	dhcp-70.netmode.ece.ntua.gr
